ID,Comuna,Npuntos ,CoberturaArbórea(%),ErrorEstándar(+/-) 
1,Vitacura,115,44.0,5.77
2,La Reina,88,38.3,12.15
3,Las Condes,242,37.3,7.74
4,Lo Barnechea,213,34.0,5.02
5,Providencia,71,30.2,7.00
6,La Cisterna,39,25.7,5.51
7,Ñuñoa,74,24.2,5.12
8,Pedro Aguirre Cerda,36,24.2,3.58
9,Penalolén,153,22.3,7.36
10,Puente Alto,402,20.3,6.44
11,Conchalí,43,19.5,2.69
12,Independencia,32,19.2,5.69
13,La Florida,217,17.6,3.05
14,Huechuraba,143,15.3,3.84
15,Recoleta,94,14.1,2.24
16,Padre Hurtado,35,12.9,2.30
17,Macul,74,12.5,5.76
18,Cerrillos,89,11.5,5.65
19,Lo Prado,32,11.5,3.71
20,Santiago,100,11.4,1.61
21,San Bernardo,478,11.1,5.23
22,San Miguel,51,10.9,5.26
23,Renca,97,10.5,2.47
24,La Pintana,156,10.2,3.85
25,La Granja,48,10.0,3.56
26,Maipú,389,9.5,2.03
27,Estación Central,70,9.4,1.45
28,El Bosque,63,8.6,2.13
29,Cerro Navia,52,8.2,4.28
30,Quilicura,173,7.7,2.75
31,Lo Espejo,33,6.5,1.12
32,San Joaquín,55,6.0,3.20
33,Quinta Normal,41,5.3,3.13
34,Pudahuel,209,4.3,3.63
35,San Ramón,31,3.8,1.92
36,Calera de Tango,39,3.1,1.62
